super_category,category,sub_category,vertical
CE,Camera,Camera,Camcorders
CE,Camera,Camera,DSLR
CE,Camera,Camera,Instant Cameras
CE,Camera,Camera,Point & Shoot
CE,Camera,Camera,SportsAndAction
CE,CameraAccessory,CameraAccessory,Binoculars
CE,CameraAccessory,CameraAccessory,CameraAccessory
CE,CameraAccessory,CameraAccessory,CameraBag
CE,CameraAccessory,CameraAccessory,CameraBattery
CE,CameraAccessory,CameraAccessory,CameraBatteryCharger
CE,CameraAccessory,CameraAccessory,CameraBatteryGrip
CE,CameraAccessory,CameraAccessory,CameraEyeCup
CE,CameraAccessory,CameraAccessory,CameraFilmRolls
CE,CameraAccessory,CameraAccessory,CameraHousing
CE,CameraAccessory,CameraAccessory,CameraLEDLight
CE,CameraAccessory,CameraAccessory,CameraMicrophone
CE,CameraAccessory,CameraAccessory,CameraMount
CE,CameraAccessory,CameraAccessory,CameraRemoteControl
CE,CameraAccessory,CameraAccessory,CameraTripod
CE,CameraAccessory,CameraAccessory,ExtensionTube
CE,CameraAccessory,CameraAccessory,Filter
CE,CameraAccessory,CameraAccessory,Flash
CE,CameraAccessory,CameraAccessory,FlashShoeAdapter
CE,CameraAccessory,CameraAccessory,Lens
CE,CameraAccessory,CameraAccessory,ReflectorUmbrella
CE,CameraAccessory,CameraAccessory,Softbox
CE,CameraAccessory,CameraAccessory,Strap
CE,CameraAccessory,CameraAccessory,Teleconverter
CE,CameraAccessory,CameraAccessory,Telescope
CE,CameraAccessory,CameraStorage,CameraStorageMemoryCard
CE,EntertainmentSmall,AmplifierReceiver,AmplifierReceiver
CE,EntertainmentSmall,AudioAccessory,Microphone
CE,EntertainmentSmall,AudioAccessory,MicrophoneAccessory
CE,EntertainmentSmall,AudioMP3Player,AudioMP3Player
CE,EntertainmentSmall,HomeAudio,BoomBox
CE,EntertainmentSmall,HomeAudio,DJController
CE,EntertainmentSmall,HomeAudio,Dock
CE,EntertainmentSmall,HomeAudio,DockingStation
CE,EntertainmentSmall,HomeAudio,FMRadio
CE,EntertainmentSmall,HomeAudio,HiFiSystem
CE,EntertainmentSmall,HomeAudio,HomeAudioSpeaker
CE,EntertainmentSmall,HomeAudio,KaraokePlayer
CE,EntertainmentSmall,HomeAudio,SlingBox
CE,EntertainmentSmall,HomeAudio,SoundMixer
CE,EntertainmentSmall,HomeAudio,VoiceRecorder
CE,EntertainmentSmall,HomeTheatre,HomeTheatre
CE,EntertainmentSmall,Speaker,\N
CE,EntertainmentSmall,Speaker,LaptopSpeaker
CE,EntertainmentSmall,Speaker,MobileSpeaker
CE,EntertainmentSmall,TVVideoSmall,RemoteControl
CE,EntertainmentSmall,TVVideoSmall,SelectorBox
CE,EntertainmentSmall,TVVideoSmall,VideoGlasses
CE,EntertainmentSmall,TVVideoSmall,VideoPlayer
CE,GameCDDVD,Game,CodeInTheBoxGame
CE,GameCDDVD,Game,PhysicalGame
CE,GameCDDVD,GameMembershipCards,GameValueCards
CE,GamingHardware,GamingAccessory,CoolingPad
CE,GamingHardware,GamingAccessory,GameControlMount
CE,GamingHardware,GamingAccessory,GamePad
CE,GamingHardware,GamingAccessory,GamingAccessoryKit
CE,GamingHardware,GamingAccessory,GamingAdapter
CE,GamingHardware,GamingAccessory,GamingChargingStation
CE,GamingHardware,GamingAccessory,GamingGun
CE,GamingHardware,GamingAccessory,GamingHeadset
CE,GamingHardware,GamingAccessory,GamingKeyboard
CE,GamingHardware,GamingAccessory,GamingMemoryCard
CE,GamingHardware,GamingAccessory,GamingMouse
CE,GamingHardware,GamingAccessory,GamingMousePad
CE,GamingHardware,GamingAccessory,GamingSpeaker
CE,GamingHardware,GamingAccessory,JoystickGamingWheel
CE,GamingHardware,GamingAccessory,MotionController
CE,GamingHardware,GamingAccessory,TVOutCableAccessory
CE,GamingHardware,GamingConsole,GamingConsole
CE,GamingHardware,GamingConsole,HandheldGamingConsole
